Kecamatan;Desa/Kelurahan;TPS;1 PKB;2 Gerindra;3 PDIP;4 Golkar;5 Nasdem;6 Buruh;7 Gelora;8 PKS;9 PKN;10 Hanura;11 Garuda;12 PAN;13 PBB;14 Demokrat;15 PSI;16 Perindo;17 PPP;24 Umat
ADIPALA;KARANGSARI;TPS-020;10;65;44;23;3;1;0;3;0;0;0;16;0;4;5;1;35;1
ADIPALA;KARANGSARI;TPS-021;14;31;20;47;3;2;1;6;0;0;0;4;0;0;2;1;45;1
ADIPALA;KARANGSARI;TPS-022;6;39;33;50;2;0;3;1;0;0;1;2;0;8;2;3;45;0
ADIPALA;KARANGSARI;TPS-023;10;48;35;43;4;0;4;5;0;0;0;2;0;4;0;0;24;0
ADIPALA;KARANGSARI;TPS-024;9;75;23;15;6;0;0;10;2;1;0;1;0;3;2;0;15;0
ADIPALA;PEDASONG;TPS-001;32;63;11;3;5;0;1;10;0;1;0;13;0;6;1;2;81;0
ADIPALA;PEDASONG;TPS-002;20;29;25;3;1;0;5;6;0;0;0;16;1;21;2;1;64;0
ADIPALA;PEDASONG;TPS-003;Data sedang diproses lihat C1 di: https://pemilu2024.kpu.go.id/pilegdprd_prov/hitung-suara/wilayah/33/3301/330103/3301032003/3301032003003
ADIPALA;PEDASONG;TPS-004;29;17;21;2;10;1;0;2;0;0;0;10;0;11;2;14;37;0
ADIPALA;PEDASONG;TPS-005;8;22;23;5;3;0;0;6;0;0;0;3;0;11;2;19;39;0
ADIPALA;PEDASONG;TPS-006;21;22;18;10;0;0;5;2;1;1;0;3;1;7;1;5;77;0
ADIPALA;PENGGALANG;TPS-001;15;28;34;9;45;0;3;3;0;2;0;3;1;1;2;4;50;0
ADIPALA;PENGGALANG;TPS-002;9;17;22;2;55;1;1;6;0;0;2;4;0;8;3;3;74;0
